7172,Pessina Mas.,Massimo Pessina,P,Por,1,1,1,1,Bologna,1,1,destro,Italia,25/12/2007 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7172.png?v=420,0,0.0,0.0
2722,Ravaglia F.,Federico Ravaglia,P,Por,4,3,4,3,Bologna,1,1,destro,Italia,11/11/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2722.png?v=420,0,6.5,6.5
133,Skorupski,Lukasz Skorupski,P,Por,12,10,12,10,Bologna,49,49,destro,Polonia,05/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/133.png?v=420,0,6.17,5.25
5498,Casale,Nicolò Casale,D,Dc,2,4,2,4,Bologna,8,8,destro,Italia,14/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5498.png?v=420,0,5.5,5.5
4982,Erlic,Martin Erlic,D,Dc,3,3,3,3,Bologna,7,7,destro,Croazia,24/01/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4982.png?v=420,1,0.0,0.0
6551,Ilic M.,Mihajlo Ilic,D,Dc,1,1,1,1,Bologna,2,2,destro,Serbia,04/06/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6551.png?v=420,1,0.0,0.0
6042,Lucumì,Jhon Lucumì,D,Dc,6,8,6,8,Bologna,14,14,sinistro,Colombia,26/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6042.png?v=420,0,5.8,5.7
7068,Vitik,Martin Vitik,D,Dc,7,8,7,8,Bologna,13,13,destro,Repubblica Ceca,21/01/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7068.png?v=420,0,6.12,6.0
6066,Posch,Stefan Posch,D,Dd;Dc,3,5,4,6,Como,12,14,destro,Austria,14/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6066.png?v=420,0,6.0,6.0
487,De Silvestri,Lorenzo De Silvestri,D,Dd;E,4,4,4,4,Bologna,10,10,destro,Italia,23/05/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/487.png?v=420,0,6.0,6.0
5678,Holm,Emil Holm,D,Dd;E,11,8,11,8,Bologna,14,14,destro,Svezia,13/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5678.png?v=420,0,6.75,8.75
2653,Lykogiannis,Charalampos Lykogiannis,D,Ds;E,3,5,3,5,Bologna,13,13,sinistro,Grecia,22/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2653.png?v=420,0,5.5,5.38
